prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1001629,317221,634240,217,1417,238,1,11,260.750,47.42
1001629,724022,177130,717,1500,238,1,12,261.000,47.42
1001629,812642,486131,110,1416,238,1,11,260.750,47.42
1001629,428153,57665,43,834,238,1,12,261.000,47.42
1001629,755906,912420,344,1166,238,1,11,260.750,47.42
1001629,287821,832025,769,1291,238,1,12,261.000,47.42
1001629,554879,148590,1026,1167,238,1,12,261.000,47.42
1001629,863403,710391,185,1125,238,1,11,260.750,47.42
1001629,702566,536669,836,1167,238,1,11,260.750,47.42
1001629,450182,2070,316,1018,238,1,11,260.750,47.42
1001629,525049,1006,735,1833,238,1,11,260.750,47.42
1001629,152565,882702,588,1042,238,1,11,260.750,47.42
1001629,651227,843268,1434,1792,228,1,11,250.750,47.42
1001629,943451,973518,503,916,238,1,11,260.750,47.42
1001629,657057,551317,1597,875,238,1,11,260.750,47.42
1001629,594360,812640,960,875,238,1,11,260.750,47.42
1001629,730720,127684,134,917,238,1,12,261.000,47.42
1001629,975092,375312,195,834,228,1,11,250.750,47.42
1001629,293023,66524,314,851,228,1,11,250.750,47.42
1001629,955096,624373,281,1708,238,1,12,261.000,47.42
1003109,201205,601814,541,833,239,1,11,261.750,22.24
1003109,170131,272327,135,833,239,1,11,261.750,22.24
1003109,712941,145211,418,834,239,1,11,261.750,22.24
1003109,206586,197659,209,875,239,1,12,262.000,22.24
1003109,851657,853140,250,834,239,1,12,262.000,22.24
1003109,162413,291764,662,792,229,1,11,251.750,22.24
1003109,352039,306866,280,833,229,1,11,251.750,22.24
1003109,12983,301980,11,834,239,1,11,261.750,22.24
1003109,105193,829402,75,875,239,1,11,261.750,22.24
1003109,729265,584965,363,833,239,1,11,261.750,22.24
1003109,650249,84888,533,834,239,1,12,262.000,22.24
1003109,111465,649272,478,833,239,1,12,262.000,22.24
1003109,384016,369292,16,1791,239,1,11,261.750,22.24
1003109,615289,383576,1253,1625,239,1,11,261.750,22.24
1003109,516172,836517,63,791,229,1,11,251.750,22.24
1003109,351654,889948,846,791,239,1,11,261.750,22.24
1003109,47183,798911,58,791,239,1,11,261.750,22.24
1003109,142995,743874,9,792,239,1,11,261.750,22.24
1003109,1001900,193505,40,833,229,1,11,251.750,22.24
1003109,139727,150856,188,833,239,1,12,262.000,22.24
1006769,306185,384007,384,792,231,1,12,254.000,10.81
1006769,933358,963505,121,792,231,1,12,254.000,10.81
1006769,806978,497729,27,792,221,1,11,243.750,10.81
1006769,703864,711127,215,1666,231,1,12,254.000,10.81
1006769,887456,347539,141,792,241,1,11,263.750,10.81
1006769,516720,513370,2,833,231,1,12,254.000,10.81
1006769,306371,241012,89,768,221,1,11,243.750,10.81
1006769,184430,629959,90,750,221,1,11,243.750,10.81
1006769,272281,210695,37,1709,241,1,13,264.250,10.81
1006769,913983,262811,150,834,241,1,13,264.250,10.81
1006769,267522,398949,239,1625,241,1,11,263.750,10.81
1006769,280693,816056,138,792,221,1,11,243.750,10.81
1006769,890167,441702,316,791,221,1,11,243.750,10.81
1006769,538378,484829,301,834,231,1,12,254.000,10.81
1006769,374297,677503,6,792,221,1,11,243.750,10.81
1006769,697630,12763,140,791,231,1,12,254.000,10.81
1006769,29810,737813,2,1601,231,1,12,254.000,10.81
1006769,764528,669268,206,833,231,1,12,254.000,10.81
1006769,141258,271694,242,833,241,1,11,263.750,10.81
1006769,690697,584924,364,833,241,1,13,264.250,10.81
1006883,287638,586877,28,1708,228,1,12,251.000,9.00
1006883,419823,791470,250,791,238,1,11,260.750,9.00
1006883,293311,738054,54,792,238,1,11,260.750,9.00
1006883,776361,611809,9,833,238,1,13,261.250,9.00
1006883,823514,913677,4,833,228,1,12,251.000,9.00
1006883,680197,368674,129,791,238,1,11,260.750,9.00
1006883,589972,90629,294,792,228,1,12,251.000,9.00
1006883,362001,809347,68,833,228,1,12,251.000,9.00
1006883,949439,5933,20,833,228,1,12,251.000,9.00
1006883,416594,562899,53,792,218,1,11,240.750,9.00
1006883,647243,584354,10,1625,228,1,12,251.000,9.00
1006883,202598,343161,175,792,218,1,11,240.750,9.00
1006883,504436,66345,44,791,218,1,11,240.750,9.00
1006883,230807,292601,217,1625,218,1,11,240.750,9.00
1006883,11615,767561,9,792,218,1,11,240.750,9.00
1006883,728692,264900,373,792,218,1,11,240.750,9.00
1006883,776267,586916,35,834,238,1,13,261.250,9.00
