prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1001629,26586,410244,63,13041,827,0,5,828.250,1.17
1001629,26586,320646,24,12225,865,0,6,866.500,1.17
1001629,848643,719544,91,12184,715,0,3,715.750,1.17
1001629,848643,289870,33,11500,765,0,4,766.000,1.17
1001629,730370,885918,1189,11309,671,0,2,671.500,1.17
1001629,730370,944533,37,11250,771,0,4,772.000,1.17
1001629,451537,542832,66,11518,809,0,5,810.250,1.17
1001629,451537,75556,31,11000,759,0,4,760.000,1.17
1001629,839853,76261,204,24393,739,0,3,739.750,1.17
1001629,839853,192838,92,24268,803,0,5,804.250,1.17
1001629,453699,388079,168,24917,777,0,4,778.000,1.17
1001629,453699,532159,77,23310,689,0,2,689.500,1.17
1001629,385046,922650,72,11767,821,0,5,822.250,1.17
1001629,385046,818838,38,10708,683,0,2,683.500,1.17
1001629,902736,27265,774,17208,797,0,5,798.250,1.17
1001629,902736,497878,54,23434,707,0,2,707.500,1.17
1001629,307893,44961,90,24518,657,0,1,657.250,1.17
1001629,307893,560382,48,23559,727,0,3,727.750,1.17
1001629,761778,22149,29,25459,765,0,4,766.000,1.17
1001629,761778,518019,61,24559,841,0,6,842.500,1.17
1003109,362007,90409,225,24310,778,0,3,778.750,0.82
1003109,362007,427515,57,24808,831,0,4,832.000,0.82
1003109,248688,81188,21,24017,825,0,4,826.000,0.82
1003109,248688,369278,47,23310,749,0,2,749.500,0.82
1003109,286477,321193,76,26559,907,0,6,908.500,0.82
1003109,286477,641798,62,25643,825,0,4,826.000,0.82
1003109,846339,558760,529,25684,884,0,5,885.250,0.82
1003109,347096,89346,30,23727,790,0,3,790.750,0.82
1003109,846339,419134,20,24060,796,0,3,796.750,0.82
1003109,347096,126877,39,23809,778,0,3,778.750,0.82
1003109,164335,603538,359,11125,808,0,3,808.750,0.82
1003109,164335,984238,30,11142,825,0,4,826.000,0.82
1003109,619813,999805,12,23559,743,0,2,743.500,0.82
1003109,619813,838283,87,24060,778,0,3,778.750,0.82
1003109,590694,438180,124,12542,778,0,3,778.750,0.82
1003109,590694,764545,41,12459,831,0,4,832.000,0.82
1003109,771023,135248,46,11333,819,0,4,820.000,0.82
1003109,441745,234774,31,12167,825,0,4,826.000,0.82
1003109,771023,416279,4,11417,849,0,4,850.000,0.82
1003109,441745,236129,34,12142,784,0,3,784.750,0.82
1006769,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1006883,393748,48102,514,11060,705,0,2,705.500,0.81
1006883,393748,759180,44,11625,777,0,4,778.000,0.81
1006883,502536,334708,61,11142,813,0,5,814.250,0.81
1006883,502536,711119,41,11292,741,0,3,741.750,0.81
1006883,988535,543897,237,11083,705,0,2,705.500,0.81
1006883,651110,211457,36,10643,777,0,4,778.000,0.81
1006883,988535,728676,5,11143,849,0,6,850.500,0.81
1006883,651110,790587,34,10792,741,0,3,741.750,0.81
1006883,280586,698200,290,23268,741,0,3,741.750,0.81
1006883,867558,972564,74,23542,777,0,4,778.000,0.81
1006883,280586,445976,2,22625,705,0,2,705.500,0.81
1006883,254202,319615,38,10875,741,0,3,741.750,0.81
1006883,867558,324192,29,22976,777,0,4,778.000,0.81
1006883,254202,73998,14,11334,777,0,4,778.000,0.81
1006883,827997,882750,193,10333,705,0,2,705.500,0.81
1006883,827997,811998,32,10435,705,0,2,705.500,0.81
1006883,404068,587595,627,11042,705,0,2,705.500,0.81
1006883,404068,226977,38,11183,741,0,3,741.750,0.81
1006883,525623,446923,145,10791,741,0,3,741.750,0.81
1006883,138592,640034,32,11500,813,0,5,814.250,0.81
1009159,890343,426250,69,23933,809,0,6,810.500,1.22
1009159,890343,339468,60,24684,809,0,6,810.500,1.22
1009159,68024,601222,10,21643,775,0,5,776.250,1.22
1009159,68024,50937,50,20542,775,0,5,776.250,1.22
1009159,913513,543359,310,24935,775,0,5,776.250,1.22
1009159,913513,561832,60,24541,775,0,5,776.250,1.22
1009159,300184,971169,93,22518,673,0,2,673.500,1.22
1009159,300184,65506,64,22060,673,0,2,673.500,1.22
1009159,141936,817355,356,23392,707,0,3,707.750,1.22
1009159,648934,917642,3,19934,673,0,2,673.500,1.22
1009159,648934,58826,50,21042,741,0,4,742.000,1.22
1009159,141936,408814,3,22833,673,0,2,673.500,1.22
1009159,849909,55235,73,23226,707,0,3,707.750,1.22
1009159,849909,637845,46,22833,673,0,2,673.500,1.22
1009159,455259,921538,240,22601,707,0,3,707.750,1.22
1009159,455259,33874,53,23167,741,0,4,742.000,1.22
1009159,1004610,998045,506,25310,843,0,7,844.750,1.22
1009159,1004610,1006172,49,22976,741,0,4,742.000,1.22
1009159,65002,819070,432,22851,741,0,4,742.000,1.22
1009159,527169,348851,28,19083,639,0,1,639.250,1.22
1009193,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1012481,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1016497,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1019357,583220,810232,511,23500,790,0,3,790.750,1.12
1019357,583220,122403,33,24142,843,0,4,844.000,1.12
1019357,287166,919845,174,23102,772,0,3,772.750,1.12
1019357,420418,514682,1,21185,819,0,4,820.000,1.12
1019357,287166,76638,31,24750,849,0,4,850.000,1.12
1019357,420418,817834,22,38892,784,0,3,784.750,1.12
1019357,798724,929399,379,23975,796,0,3,796.750,1.12
1019357,798724,734177,48,24208,831,0,4,832.000,1.12
1019357,348169,413911,200,24917,819,0,4,820.000,1.12
1019357,348169,289048,45,23101,790,0,3,790.750,1.12
1019357,29538,620942,367,22375,708,0,1,708.250,1.12
1019357,249328,293434,5,24000,790,0,3,790.750,1.12
1019357,29538,329981,39,23935,831,0,4,832.000,1.12
1019357,249328,258720,4,22810,749,0,2,749.500,1.12
1019357,922092,688411,61,24143,819,0,4,820.000,1.12
1019357,642373,635205,5,24434,860,0,5,861.250,1.12
1019357,922092,590938,35,24059,778,0,3,778.750,1.12
1019357,642373,284613,1,22934,761,0,2,761.500,1.12
1019357,787044,299419,16,22833,755,0,2,755.500,1.12
1019357,787044,405904,56,23935,825,0,4,826.000,1.12
1020683,943540,873156,777,24018,794,0,5,795.250,1.34
1020683,40082,690198,11,19851,724,0,3,724.750,1.34
1020683,943540,881844,42,23058,724,0,3,724.750,1.34
1020683,40082,726944,1,20309,724,0,3,724.750,1.34
1020683,346934,842088,211,23558,794,0,5,795.250,1.34
1020683,346934,206575,62,23667,794,0,5,795.250,1.34
1020683,79160,622702,217,20226,724,0,3,724.750,1.34
1020683,79160,612485,56,20975,759,0,4,760.000,1.34
1020683,942350,595334,129,20209,759,0,4,760.000,1.34
1020683,942350,187305,50,19934,724,0,3,724.750,1.34
1020683,540211,286958,489,20476,794,0,5,795.250,1.34
1020683,540211,751066,49,19685,759,0,4,760.000,1.34
1020683,257773,306610,195,21018,759,0,4,760.000,1.34
1020683,257773,636116,56,22267,829,0,6,830.500,1.34
1020683,544613,836457,374,19458,724,0,3,724.750,1.34
1020683,544613,895993,54,20267,794,0,5,795.250,1.34
1020683,26466,217229,215,19727,724,0,3,724.750,1.34
1020683,26466,238481,58,20084,794,0,5,795.250,1.34
1020683,917425,608223,61,19625,689,0,2,689.500,1.34
1020683,917425,892138,51,19809,759,0,4,760.000,1.34
1021429,316119,157734,108,21667,916,0,5,917.250,1.00
1021429,316119,96480,41,19976,763,0,2,763.500,1.00
1021429,55560,31324,323,21875,892,0,5,893.250,1.00
1021429,55560,519682,48,20601,830,0,3,830.750,1.00
1021429,16887,793861,41,20017,763,0,2,763.500,1.00
1021429,16887,578053,53,21333,830,0,3,830.750,1.00
1021429,834474,390394,166,19643,732,0,1,732.250,1.00
1021429,333458,643291,24,20226,781,0,2,781.500,1.00
1021429,834474,990321,21,20000,842,0,3,842.750,1.00
1021429,333458,568654,24,21642,861,0,4,862.000,1.00
1021429,805396,908121,737,22143,953,0,6,954.500,1.00
1021429,805396,194249,49,21808,922,0,5,923.250,1.00
1021429,701531,664354,81,19726,738,0,1,738.250,1.00
1021429,701531,411768,55,21417,935,0,6,936.500,1.00
