prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1001629,132922,521964,139,6666,885,0,0,885.000,2.18
1001629,132922,513019,15,6351,873,0,0,873.000,2.18
1001629,476580,688738,90,6416,873,0,0,873.000,2.18
1001629,476580,995739,10,6584,879,0,0,879.000,2.18
1001629,966573,966578,620,6709,891,0,0,891.000,2.18
1001629,966573,258261,17,6750,891,0,0,891.000,2.18
1001629,446035,998632,569,6708,915,0,0,915.000,2.18
1001629,446035,689142,20,6476,897,0,0,897.000,2.18
1001629,539858,482890,631,6500,891,0,0,891.000,2.18
1001629,539858,738717,12,6917,909,0,0,909.000,2.18
1001629,263313,410961,261,6375,903,0,0,903.000,2.18
1001629,263313,181903,9,6727,885,0,0,885.000,2.18
1001629,791131,785259,385,6375,885,0,0,885.000,2.18
1001629,791131,481069,16,6559,867,0,0,867.000,2.18
1001629,34873,667332,110,6250,879,0,0,879.000,2.18
1001629,34873,480527,6,6434,885,0,0,885.000,2.18
1001629,402685,222638,294,6125,867,0,0,867.000,2.18
1001629,402685,320038,9,6167,879,0,0,879.000,2.18
1001629,994404,219278,530,6416,879,0,0,879.000,2.18
1001629,994404,118488,12,7000,909,0,0,909.000,2.18
1003109,404105,307923,116,6768,942,0,0,942.000,0.65
1003109,404105,872316,14,6875,942,0,0,942.000,0.65
1003109,663469,43224,213,6809,948,0,0,948.000,0.65
1003109,410389,500134,1,6685,960,0,0,960.000,0.65
1003109,621466,641331,2,6750,960,0,0,960.000,0.65
1003109,663469,834068,12,6875,954,0,0,954.000,0.65
1003109,410389,883622,1,7083,966,0,0,966.000,0.65
1003109,621466,28068,4,7250,948,0,0,948.000,0.65
1003109,658866,694814,335,6833,942,0,0,942.000,0.65
1003109,658866,103993,28,6917,954,0,0,954.000,0.65
1003109,59970,239445,213,6625,948,0,0,948.000,0.65
1003109,59970,856176,19,6750,954,0,0,954.000,0.65
1003109,196210,130574,268,6518,954,0,0,954.000,0.65
1003109,196210,748158,10,6916,960,0,0,960.000,0.65
1003109,768883,639686,116,6791,954,0,0,954.000,0.65
1003109,768883,152115,23,6726,948,0,0,948.000,0.65
1003109,712784,245208,23,13476,960,0,0,960.000,0.65
1003109,606721,214311,16,6875,948,0,0,948.000,0.65
1003109,606721,988030,17,6542,924,0,0,924.000,0.65
1003109,712784,748862,4,13458,966,0,0,966.000,0.65
1006769,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1006883,981110,212752,12,7458,885,0,0,885.000,1.07
1006883,981110,55935,17,7041,885,0,0,885.000,1.07
1006883,579291,851724,238,6209,885,0,0,885.000,1.07
1006883,579291,19509,14,6125,885,0,0,885.000,1.07
1006883,169462,107121,93,5791,885,0,0,885.000,1.07
1006883,169462,428154,16,5958,885,0,0,885.000,1.07
