prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1002741654979,677100015877,104385662052,14222,2685,466,1,20,491.000,17877.27
1002741654979,470981006343,912389699442,120515,2375,466,1,20,491.000,17877.27
1002741654979,506777106293,255527900936,22653,2625,466,1,26,492.500,17877.27
1002741654979,345911108229,442100577065,178973,2250,456,1,25,482.250,17877.27
1002741654979,376558315031,89961992097,20769,2209,466,1,20,491.000,17877.27
1002741654979,975920201703,281751432297,48524,2458,466,1,20,491.000,17877.27
1002741654979,957034562444,444671799709,13442,5958,466,1,20,491.000,17877.27
1002741654979,867876395348,211650521039,75338,3125,476,1,27,502.750,17877.27
1002741654979,508280999329,488969219467,25191,2417,456,1,25,482.250,17877.27
1002741654979,621567205770,432368115879,311691,2517,466,1,20,491.000,17877.27
1002741654979,401059091577,761080646628,140841,2375,466,1,20,491.000,17877.27
1002741654979,198538260678,603037144315,157004,5000,476,1,21,501.250,17877.27
1002741654979,997747459994,83365192718,133239,3167,476,1,27,502.750,17877.27
1002741654979,515823643257,960905199324,24804,2583,466,1,26,492.500,17877.27
1002741654979,353288813100,320479463810,52032,2583,466,1,20,491.000,17877.27
1002741654979,478442363303,782809421089,437593,2417,466,1,20,491.000,17877.27
1002741654979,385142797292,603857750779,16781,2334,466,1,20,491.000,17877.27
1002741654979,246566724736,587010799866,49751,2375,466,1,20,491.000,17877.27
1002741654979,166702402422,126924909505,215523,2584,466,1,20,491.000,17877.27
1002741654979,771922379874,627870294780,30541,2417,466,1,20,491.000,17877.27
1007307916207,201070654254,652017402676,83514,2208,475,1,20,500.000,49140.76
1007307916207,169597049726,102340469395,152963,2959,455,1,20,480.000,49140.76
1007307916207,772328122342,127567421506,365906,2375,475,1,20,500.000,49140.76
1007307916207,40502119263,505154659130,170403,2334,455,1,20,480.000,49140.76
1007307916207,620216165438,779476229248,8598,2292,475,1,20,500.000,49140.76
1007307916207,955023020611,228813842923,193503,2250,475,1,20,500.000,49140.76
1007307916207,765727986687,857191420477,413470,2916,465,1,20,490.000,49140.76
1007307916207,900356014104,15469968805,105658,5500,475,1,21,500.250,49140.76
1007307916207,808289535294,976094111363,420851,3292,475,1,20,500.000,49140.76
1007307916207,412073426829,306210421661,37323,2250,465,1,20,490.000,49140.76
1007307916207,442533285694,654076869319,146750,2125,475,1,20,500.000,49140.76
1007307916207,881905242976,68285551221,254047,2167,465,1,21,490.250,49140.76
1007307916207,435220778743,846001945516,305509,2208,455,1,20,480.000,49140.76
1007307916207,632310835043,694003163679,61664,2291,475,1,20,500.000,49140.76
1007307916207,977265683118,162968704208,344673,2792,465,1,20,490.000,49140.76
1007307916207,98401589796,282127519683,545338,2250,455,1,20,480.000,49140.76
1007307916207,413849532364,158689065593,315054,2375,475,1,20,500.000,49140.76
1007307916207,62464130678,653850477212,39876,2250,465,1,20,490.000,49140.76
1007307916207,901706238517,929169232415,75569,3209,465,1,21,490.250,49140.76
1007307916207,499476217772,135542584018,124560,2375,475,1,20,500.000,49140.76
1009868816753,676126652059,14226980887,91744,2125,478,1,20,503.000,48338.43
1009868816753,75999575289,292277973865,388863,2975,478,1,20,503.000,48338.43
1009868816753,16737476915,927863233441,317708,2041,468,1,20,493.000,48338.43
1009868816753,705059082142,415257298718,234918,2500,478,1,20,503.000,48338.43
1009868816753,56152749929,510305507088,127738,4958,478,1,20,503.000,48338.43
1009868816753,569890403957,909521197013,737826,2458,468,1,20,493.000,48338.43
1009868816753,29972172953,451540073263,104931,2083,478,1,20,503.000,48338.43
1009868816753,454879870864,635026083451,252581,2018,478,1,21,503.250,48338.43
1009868816753,1008383864905,7749219718,85314,2209,478,1,20,503.000,48338.43
1009868816753,863870415970,325709780198,896090,2708,468,1,20,493.000,48338.43
1009868816753,534382378489,565285870206,230967,2792,478,1,20,503.000,48338.43
1009868816753,896149027140,64088951455,124336,2166,478,1,20,503.000,48338.43
1009868816753,790121415267,766339226794,26548,2042,478,1,20,503.000,48338.43
1009868816753,326401621908,801116118253,302716,2101,478,1,20,503.000,48338.43
1009868816753,514564320436,950891061641,743375,1917,478,1,20,503.000,48338.43
1009868816753,50697906004,758505056235,252995,5684,478,1,20,503.000,48338.43
1009868816753,874239462989,167601090414,195002,1959,468,1,20,493.000,48338.43
1009868816753,321939306707,983027173733,236890,2916,478,1,20,503.000,48338.43
1009868816753,173735899800,164173170652,24779,1917,478,1,20,503.000,48338.43
1009868816753,521505019025,994102653480,23257,1958,478,1,20,503.000,48338.43
1013789348753,421710472206,927300458747,354568,6726,477,1,23,502.750,29805.92
1013789348753,301776124566,5813701100,35839,2041,477,1,20,502.000,29805.92
1013789348753,489585259746,950897013488,54977,4875,477,1,20,502.000,29805.92
1013789348753,453438496724,228826923170,25179,2083,447,1,20,472.000,29805.92
1013789348753,700483685993,584317131886,35616,2208,477,1,23,502.750,29805.92
1013789348753,930451605201,729084608598,78149,2250,477,1,21,502.250,29805.92
1013789348753,213903143347,670541344229,634136,2583,447,1,20,472.000,29805.92
1013789348753,67657128157,263240304503,82696,2125,467,1,22,492.500,29805.92
1013789348753,306007908605,273450757435,44470,2083,477,1,23,502.750,29805.92
1013789348753,229262869720,426652987548,174219,2042,477,1,20,502.000,29805.92
1013789348753,112463840461,628580714021,90323,2375,477,1,20,502.000,29805.92
1013789348753,219801619091,755770017387,159630,2125,467,1,20,492.000,29805.92
1013789348753,684032844058,958227986557,136491,2351,477,1,20,502.000,29805.92
1013789348753,232163447269,845106510976,46345,2209,457,1,21,482.250,29805.92
1013789348753,147116870868,715161799471,48981,2208,477,1,21,502.250,29805.92
1013789348753,319800819096,529878877079,255933,2208,477,1,20,502.000,29805.92
1013789348753,896009286370,170993001645,12362,2292,467,1,20,492.000,29805.92
1013789348753,71896089813,485183109133,112842,2083,447,1,20,472.000,29805.92
1013789348753,584489028889,172095237664,100943,1958,457,1,21,482.250,29805.92
1013789348753,828255900420,909692302222,52561,2209,477,1,23,502.750,29805.92
1014502174151,224824316426,50683382836,93875,2250,476,1,20,501.000,28564.27
1014502174151,575615334464,380204390296,242378,2250,446,1,21,471.250,28564.27
1014502174151,630718874446,81408227720,79452,2375,476,1,24,502.000,28564.27
1014502174151,684213643368,236865515203,266202,2333,476,1,20,501.000,28564.27
1014502174151,33042934614,410459252135,450,2208,476,1,20,501.000,28564.27
1014502174151,109095876902,458566113842,163676,2875,476,1,24,502.000,28564.27
1014502174151,677922623209,34067085265,260684,2250,476,1,20,501.000,28564.27
1014502174151,485361005455,89678723691,1524,2291,476,1,21,501.250,28564.27
1014502174151,690514411695,823562958139,55620,2917,476,1,21,501.250,28564.27
1014502174151,33827226240,553287340891,92285,2375,476,1,20,501.000,28564.27
1014502174151,284135254663,677999818595,117249,2375,466,1,20,491.000,28564.27
1014502174151,81004235465,102446331354,8565,2375,466,1,20,491.000,28564.27
1014502174151,287612512842,668357544679,12924,2458,466,1,23,491.750,28564.27
1014502174151,121519547794,761204641128,84699,2416,476,1,20,501.000,28564.27
1014502174151,444173581804,688752384042,67392,2292,466,1,23,491.750,28564.27
1014502174151,510314501642,831006942786,169014,2458,456,1,22,481.500,28564.27
1014502174151,838883518724,197036699331,39798,2250,466,1,20,491.000,28564.27
1014502174151,316160682837,344898170566,88002,2209,466,1,20,491.000,28564.27
1014502174151,867052290577,175900700907,229827,4541,456,1,22,481.500,28564.27
1014502174151,502449701948,113555369053,373347,2292,466,1,20,491.000,28564.27
1015130460781,752095466007,470474729881,287183,2584,479,1,20,504.000,21197.22
1015130460781,978290531977,147909167867,59423,2000,479,1,23,504.750,21197.22
1015130460781,402245087573,945335736695,230185,2042,479,1,20,504.000,21197.22
1015130460781,468091039515,929273250045,59999,2084,459,1,21,484.250,21197.22
1015130460781,25588390987,491765304517,32331,2000,449,1,20,474.000,21197.22
1015130460781,755221689602,107339208759,133304,1958,459,1,21,484.250,21197.22
1015130460781,629943746618,771311419538,80700,1958,459,1,21,484.250,21197.22
1015130460781,792817516162,335450618287,89775,2558,449,1,20,474.000,21197.22
