prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1001629,520731,759738,1328,875,238,1,11,260.750,51.18
1001629,612950,211700,824,1292,238,1,11,260.750,51.18
1001629,116054,268584,848,1292,238,1,11,260.750,51.18
1001629,13482,58043,148,1417,228,1,11,250.750,51.18
1001629,560939,960254,1362,875,228,1,11,250.750,51.18
1001629,654800,916050,515,833,228,1,11,250.750,51.18
1001629,40546,767521,714,1791,228,1,11,250.750,51.18
1001629,668715,49778,324,792,228,1,11,250.750,51.18
1001629,986167,67105,337,1084,238,1,11,260.750,51.18
1001629,438430,984555,2172,1083,238,1,11,260.750,51.18
1001629,95785,60603,757,959,238,1,12,261.000,51.18
1001629,43323,478088,283,1893,238,1,12,261.000,51.18
1001629,414099,886309,47,833,238,1,11,260.750,51.18
1001629,665206,431807,803,792,238,1,11,260.750,51.18
1001629,962855,891041,490,875,238,1,11,260.750,51.18
1001629,902990,325246,468,1000,238,1,12,261.000,51.18
1001629,148239,236307,239,917,238,1,12,261.000,51.18
1001629,804951,791087,312,916,238,1,11,260.750,51.18
1001629,404200,553654,355,833,238,1,11,260.750,51.18
1001629,493339,880311,65,892,228,1,11,250.750,51.18
1003109,467919,507478,184,792,229,1,11,251.750,19.46
1003109,561575,1002752,99,959,239,1,12,262.000,19.46
1003109,230831,617232,127,791,229,1,11,251.750,19.46
1003109,946777,852776,150,1667,229,1,11,251.750,19.46
1003109,983828,512895,85,833,229,1,11,251.750,19.46
1003109,191099,781201,399,1750,239,1,11,261.750,19.46
1003109,651604,869802,33,875,239,1,12,262.000,19.46
1003109,742595,353187,585,792,229,1,11,251.750,19.46
1003109,851854,487001,132,1625,239,1,12,262.000,19.46
1003109,949712,598478,25,1667,229,1,11,251.750,19.46
1003109,455278,701598,671,792,239,1,11,261.750,19.46
1003109,570610,556073,197,791,229,1,11,251.750,19.46
1003109,400251,66483,203,916,239,1,11,261.750,19.46
1003109,25149,200228,250,833,239,1,11,261.750,19.46
1003109,439745,368402,251,792,229,1,11,251.750,19.46
1003109,579749,599559,1108,1667,239,1,11,261.750,19.46
1003109,502395,40843,9,1625,239,1,12,262.000,19.46
1003109,579749,671316,103,791,239,1,11,261.750,19.46
1003109,186408,970920,649,1667,239,1,11,261.750,19.46
1003109,838774,680502,350,833,239,1,12,262.000,19.46
1006769,441851,338987,215,791,241,1,11,263.750,7.37
1006769,665406,587375,188,833,241,1,11,263.750,7.37
1006769,168591,487305,15,791,221,1,11,243.750,7.37
1006769,363640,847139,107,833,241,1,13,264.250,7.37
1006769,834644,656944,128,792,221,1,11,243.750,7.37
1006769,282145,479838,48,791,221,1,11,243.750,7.37
1006769,944670,949459,50,791,231,1,12,254.000,7.37
1006769,12276,696420,30,1667,241,1,13,264.250,7.37
1006769,881021,28556,45,833,241,1,11,263.750,7.37
1006769,589970,154944,90,792,241,1,11,263.750,7.37
1006769,871976,181831,111,833,241,1,11,263.750,7.37
1006769,32689,875961,5,1625,241,1,13,264.250,7.37
1006769,860194,915066,153,750,221,1,11,243.750,7.37
1006769,902896,484396,48,834,241,1,13,264.250,7.37
1006769,302589,699729,39,792,221,1,11,243.750,7.37
1006769,938583,618812,377,792,241,1,11,263.750,7.37
1006769,633044,513779,201,792,221,1,11,243.750,7.37
1006769,260193,978988,5,833,221,1,11,243.750,7.37
1006769,389021,287249,237,1583,221,1,11,243.750,7.37
1006769,414185,485769,136,791,221,1,11,243.750,7.37
1006883,875274,282849,282,792,228,1,12,251.000,8.55
1006883,31732,403406,162,875,238,1,13,261.250,8.55
1006883,188657,57233,149,833,238,1,13,261.250,8.55
1006883,443729,321930,85,792,228,1,12,251.000,8.55
1006883,869032,708608,81,1709,238,1,11,260.750,8.55
1006883,173403,438489,41,750,218,1,11,240.750,8.55
1006883,222088,528858,72,834,228,1,12,251.000,8.55
1006883,567032,788554,265,791,228,1,12,251.000,8.55
1006883,693980,88660,16,792,228,1,12,251.000,8.55
1006883,715667,766884,693,792,218,1,11,240.750,8.55
1006883,981507,595405,102,792,228,1,12,251.000,8.55
1006883,812684,45179,30,833,238,1,11,260.750,8.55
1006883,552621,698626,5,833,238,1,11,260.750,8.55
1006883,25589,795405,38,851,238,1,11,260.750,8.55
1006883,481660,910623,103,833,238,1,13,261.250,8.55
1006883,808856,188019,142,833,228,1,12,251.000,8.55
1006883,754499,915935,95,833,238,1,13,261.250,8.55
1006883,263249,335379,30,768,218,1,11,240.750,8.55
1006883,757806,288334,153,792,218,1,11,240.750,8.55
1006883,651543,917462,3,833,228,1,12,251.000,8.55
1009159,280266,780676,87,834,237,1,11,259.750,18.89
1009159,763440,705799,527,1584,217,1,11,239.750,18.89
1009159,853956,315109,1,834,227,1,12,250.000,18.89
1009159,221539,533555,110,834,237,1,11,259.750,18.89
1009159,604383,990154,109,792,227,1,12,250.000,18.89
1009159,54484,486629,95,792,217,1,11,239.750,18.89
1009159,687156,576251,289,852,237,1,11,259.750,18.89
1009159,496989,683255,870,834,237,1,11,259.750,18.89
1009159,7050,828569,591,833,237,1,13,260.250,18.89
1009159,968535,724735,160,792,237,1,11,259.750,18.89
1009159,160050,92124,121,792,237,1,11,259.750,18.89
1009159,711695,952989,185,791,237,1,11,259.750,18.89
1009159,95195,190968,280,791,217,1,11,239.750,18.89
1009159,818682,158687,945,1750,237,1,11,259.750,18.89
1009159,293693,744955,105,1542,217,1,11,239.750,18.89
1009159,74912,692628,298,791,227,1,12,250.000,18.89
1009159,451176,565530,388,809,227,1,12,250.000,18.89
1009159,710350,914867,104,750,217,1,11,239.750,18.89
1009159,344998,53051,296,792,227,1,12,250.000,18.89
1009159,696680,333187,89,791,237,1,11,259.750,18.89
1009193,678082,466718,109,833,239,1,13,262.250,18.17
1009193,518635,368353,3,792,219,1,11,241.750,18.17
1009193,785359,646886,209,792,229,1,12,252.000,18.17
1009193,887349,9764,322,1792,219,1,11,241.750,18.17
1009193,538730,379542,189,750,219,1,11,241.750,18.17
1009193,172517,427214,4,1625,239,1,11,261.750,18.17
1009193,683737,658104,1041,791,219,1,11,241.750,18.17
1009193,925432,455507,554,792,219,1,11,241.750,18.17
1009193,820090,875430,558,750,219,1,11,241.750,18.17
1009193,193353,391181,273,792,229,1,12,252.000,18.17
1009193,584169,774780,269,750,219,1,11,241.750,18.17
1009193,95448,952628,106,833,239,1,11,261.750,18.17
1009193,439323,643262,141,750,219,1,11,241.750,18.17
1009193,451203,368956,154,834,239,1,11,261.750,18.17
1009193,224154,136294,126,792,219,1,11,241.750,18.17
1009193,203524,100173,125,834,239,1,13,262.250,18.17
1009193,38923,102226,391,792,229,1,12,252.000,18.17
1009193,533144,151668,222,833,239,1,11,261.750,18.17
1009193,687376,278523,10,792,239,1,11,261.750,18.17
1009193,170161,835822,192,792,219,1,11,241.750,18.17
1012481,749591,830765,1538,875,243,1,11,265.750,39.67
1012481,589240,629096,648,834,243,1,11,265.750,39.67
1012481,151153,100242,84,791,243,1,12,266.000,39.67
1012481,136439,957225,343,792,233,1,11,255.750,39.67
1012481,654469,176161,457,833,243,1,11,265.750,39.67
1012481,794761,631151,38,792,233,1,11,255.750,39.67
1012481,868308,664765,299,1791,243,1,11,265.750,39.67
1012481,782797,44513,18,792,233,1,11,255.750,39.67
1012481,574621,981205,98,834,243,1,11,265.750,39.67
1012481,561213,606184,134,875,243,1,12,266.000,39.67
1012481,437618,304020,583,792,233,1,11,255.750,39.67
1012481,921149,570762,858,792,233,1,11,255.750,39.67
1012481,25624,635139,684,833,243,1,11,265.750,39.67
1012481,223272,92331,267,833,243,1,12,266.000,39.67
1012481,66550,37274,22,792,243,1,11,265.750,39.67
1012481,435870,35935,288,767,243,1,12,266.000,39.67
1012481,767090,26289,443,1750,233,1,11,255.750,39.67
1012481,299954,467479,418,792,233,1,11,255.750,39.67
1012481,619784,974578,363,833,243,1,11,265.750,39.67
1012481,622917,956408,1079,833,243,1,11,265.750,39.67
1016497,340789,145746,42,750,199,1,11,221.750,29.35
1016497,492543,934668,1220,834,239,1,11,261.750,29.35
1016497,46158,447593,203,833,239,1,11,261.750,29.35
1016497,565369,672074,598,792,229,1,14,252.500,29.35
1016497,674672,791407,76,1750,229,1,14,252.500,29.35
1016497,529293,44293,115,792,219,1,13,242.250,29.35
1016497,256149,436018,337,833,219,1,13,242.250,29.35
1016497,757170,100877,253,791,209,1,12,232.000,29.35
1016497,156036,842521,232,792,239,1,11,261.750,29.35
1016497,517555,783398,82,833,249,1,12,272.000,29.35
1016497,194986,792951,377,834,239,1,11,261.750,29.35
1016497,137193,954178,236,1725,239,1,11,261.750,29.35
1016497,338407,920704,2482,750,199,1,11,221.750,29.35
1016497,933686,104299,573,750,199,1,11,221.750,29.35
1016497,475693,211350,18,791,209,1,12,232.000,29.35
1016497,850115,534838,52,792,219,1,13,242.250,29.35
1016497,83967,325233,320,708,199,1,11,221.750,29.35
1016497,332903,134653,485,834,239,1,11,261.750,29.35
1016497,798405,162870,742,791,239,1,11,261.750,29.35
1016497,771060,280005,498,750,199,1,11,221.750,29.35
1019357,217247,761078,133,792,231,1,11,253.750,15.23
1019357,228407,919028,108,834,241,1,11,263.750,15.23
1019357,425278,605592,120,834,241,1,11,263.750,15.23
1019357,55087,990395,406,834,241,1,12,264.000,15.23
1019357,262378,439582,103,792,241,1,12,264.000,15.23
1019357,521048,671844,520,792,231,1,11,253.750,15.23
1019357,498309,450337,51,791,241,1,12,264.000,15.23
1019357,40355,52286,19,792,231,1,11,253.750,15.23
1019357,300211,693527,143,833,241,1,11,263.750,15.23
1019357,982055,122987,212,792,231,1,11,253.750,15.23
1019357,51688,663836,53,792,241,1,11,263.750,15.23
1019357,395029,209268,115,833,241,1,12,264.000,15.23
1019357,34756,423496,67,852,241,1,12,264.000,15.23
1019357,205094,616107,75,833,241,1,12,264.000,15.23
1019357,45161,1016804,337,834,241,1,12,264.000,15.23
1019357,891422,861873,78,791,231,1,11,253.750,15.23
1019357,366063,333696,44,833,241,1,12,264.000,15.23
1019357,973636,240510,717,875,241,1,12,264.000,15.23
1019357,258143,581277,309,833,241,1,11,263.750,15.23
1019357,587948,346470,706,1917,231,1,11,253.750,15.23
1020683,281216,777135,161,792,237,1,12,260.000,13.81
1020683,338611,629282,76,833,237,1,12,260.000,13.81
1020683,366761,143865,87,792,227,1,11,249.750,13.81
1020683,151884,333689,38,791,227,1,11,249.750,13.81
1020683,232279,896395,115,792,227,1,11,249.750,13.81
1020683,778384,711115,300,792,227,1,11,249.750,13.81
1020683,788693,618927,346,791,227,1,11,249.750,13.81
1020683,275379,458840,157,810,237,1,12,260.000,13.81
1020683,914101,77266,248,750,227,1,11,249.750,13.81
1020683,56794,144390,221,833,237,1,11,259.750,13.81
1020683,922874,866331,68,791,237,1,11,259.750,13.81
1020683,257773,883394,61,792,237,1,11,259.750,13.81
1020683,204268,197738,62,1917,227,1,11,249.750,13.81
1020683,727553,106737,81,792,227,1,11,249.750,13.81
1020683,235000,722545,155,834,227,1,11,249.750,13.81
1020683,695873,772880,293,833,237,1,12,260.000,13.81
1020683,501336,919394,926,1917,227,1,11,249.750,13.81
1020683,65261,143552,251,834,237,1,12,260.000,13.81
1020683,672762,891153,174,792,227,1,11,249.750,13.81
1020683,355426,992586,259,767,237,1,12,260.000,13.81
1021429,753279,292591,16,792,241,1,11,263.750,16.10
1021429,433638,934273,73,834,241,1,12,264.000,16.10
1021429,483997,50513,11,834,241,1,11,263.750,16.10
1021429,547910,411140,146,792,241,1,12,264.000,16.10
1021429,317413,952954,10,834,241,1,11,263.750,16.10
1021429,240635,722229,4,1875,241,1,11,263.750,16.10
1021429,91263,912490,521,834,241,1,11,263.750,16.10
1021429,684800,204907,428,791,231,1,11,253.750,16.10
1021429,215858,321089,932,833,241,1,11,263.750,16.10
1021429,129073,960502,187,791,231,1,11,253.750,16.10
1021429,554096,684416,65,833,241,1,12,264.000,16.10
1021429,213948,381513,52,1834,241,1,12,264.000,16.10
1021429,810895,788758,80,833,241,1,12,264.000,16.10
1021429,46623,517516,776,834,241,1,11,263.750,16.10
1021429,942806,484281,79,791,241,1,12,264.000,16.10
1021429,101039,588260,117,833,241,1,12,264.000,16.10
1021429,770869,952568,258,791,231,1,11,253.750,16.10
1021429,335579,40875,41,833,241,1,11,263.750,16.10
1021429,31329,543068,250,791,231,1,11,253.750,16.10
