prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms,method
1001629,257173,401652,302,13684,1111,3,45,1182.250,1.45,x16_nonsplit_halving
1001629,257173,277685,29,11125,783,0,38,792.500,1.45,x16_nonsplit_halving
1001629,288182,726579,184,13042,989,3,38,1058.500,1.45,x16_nonsplit_halving
1001629,288182,518912,27,11226,797,0,36,806.000,1.45,x16_nonsplit_halving
1001629,211205,257265,281,14875,1091,3,42,1161.500,1.45,x16_nonsplit_halving
1001629,211205,449407,24,11267,695,0,32,703.000,1.45,x16_nonsplit_halving
1001629,274754,114278,277,25018,1021,3,39,1090.750,1.45,x16_nonsplit_halving
1001629,274754,643886,49,19850,795,0,40,805.000,1.45,x16_nonsplit_halving
1001629,457342,435473,37,13250,1105,3,44,1176.000,1.45,x16_nonsplit_halving
1001629,457342,201612,32,11041,745,0,36,754.000,1.45,x16_nonsplit_halving
1001629,552518,519271,297,27725,1155,3,48,1227.000,1.45,x16_nonsplit_halving
1001629,552518,206629,35,21060,777,0,37,786.250,1.45,x16_nonsplit_halving
1001629,309525,312754,62,26685,1257,3,52,1330.000,1.45,x16_nonsplit_halving
1001629,309525,559859,24,20809,759,0,34,767.500,1.45,x16_nonsplit_halving
1001629,551977,358809,3,25809,1225,3,49,1297.250,1.45,x16_nonsplit_halving
1001629,551977,553916,31,20393,771,0,36,780.000,1.45,x16_nonsplit_halving
1001629,146232,230091,889,24560,1165,3,46,1236.500,1.45,x16_nonsplit_halving
1001629,146232,175779,30,19375,733,0,34,741.500,1.45,x16_nonsplit_halving
1001629,799732,555842,59,24226,1017,3,38,1086.500,1.45,x16_nonsplit_halving
1001629,799732,406398,37,19959,733,0,34,741.500,1.45,x16_nonsplit_halving
1003109,152064,425902,69,24643,1147,3,41,1217.250,1.25,x16_nonsplit_halving
1003109,132944,795659,23,26042,1192,3,45,1263.250,1.25,x16_nonsplit_halving
1003109,152064,67848,15,22768,942,0,41,952.250,1.25,x16_nonsplit_halving
1003109,132944,980702,19,18101,690,0,28,697.000,1.25,x16_nonsplit_halving
1003109,254532,357381,166,23892,1093,3,41,1163.250,1.25,x16_nonsplit_halving
1003109,254532,21309,33,20809,843,0,39,852.750,1.25,x16_nonsplit_halving
1003109,400251,396937,51,26851,1413,3,57,1487.250,1.25,x16_nonsplit_halving
1003109,400251,177974,28,19834,778,0,33,786.250,1.25,x16_nonsplit_halving
1003109,822900,307248,135,24142,1198,3,45,1269.250,1.25,x16_nonsplit_halving
1003109,822900,206149,48,19518,731,0,30,738.500,1.25,x16_nonsplit_halving
1003109,995704,485977,1461,23435,1075,3,38,1144.500,1.25,x16_nonsplit_halving
1003109,995704,936365,50,19834,796,0,36,805.000,1.25,x16_nonsplit_halving
1003109,421133,890409,383,25684,1243,3,48,1315.000,1.25,x16_nonsplit_halving
1003109,421133,761658,52,20375,778,0,33,786.250,1.25,x16_nonsplit_halving
1003109,290243,555141,123,29726,1549,3,60,1624.000,1.25,x16_nonsplit_halving
1003109,290243,710010,55,21267,802,0,37,811.250,1.25,x16_nonsplit_halving
1003109,762763,315852,79,28559,1491,3,61,1566.250,1.25,x16_nonsplit_halving
1003109,788224,27814,40,28809,1477,3,58,1551.500,1.25,x16_nonsplit_halving
1003109,762763,252459,16,21709,907,0,40,917.000,1.25,x16_nonsplit_halving
1003109,788224,939830,39,20017,825,0,36,834.000,1.25,x16_nonsplit_halving
1006769,130800,866419,7117,375,66,0,0,66.000,109.45,bruteforce
1006769,492249,669227,684,417,66,0,0,66.000,109.45,bruteforce
1006769,36985,763580,276,417,66,0,0,66.000,109.45,bruteforce
1006769,722418,497249,6980,375,66,0,0,66.000,109.45,bruteforce
1006769,197825,292986,1218,375,66,0,0,66.000,109.45,bruteforce
1006769,811793,697018,1352,375,66,0,0,66.000,109.45,bruteforce
1006769,939185,618262,382,375,66,0,0,66.000,109.45,bruteforce
1006769,646278,34333,3596,709,66,0,0,66.000,109.45,bruteforce
1006769,788158,151891,269,334,66,0,0,66.000,109.45,bruteforce
1006769,838279,623207,4518,333,66,0,0,66.000,109.45,bruteforce
1006769,944404,312836,1297,292,66,0,0,66.000,109.45,bruteforce
1006769,294921,938635,9918,292,66,0,0,66.000,109.45,bruteforce
1006769,316786,497316,3603,334,66,0,0,66.000,109.45,bruteforce
1006769,124458,107579,566,333,66,0,0,66.000,109.45,bruteforce
1006769,624131,530251,519,333,66,0,0,66.000,109.45,bruteforce
1006769,861882,304766,2853,333,66,0,0,66.000,109.45,bruteforce
1006769,205799,753789,12568,333,66,0,0,66.000,109.45,bruteforce
1006769,318666,173435,261,291,66,0,0,66.000,109.45,bruteforce
1006769,313018,875664,451,292,66,0,0,66.000,109.45,bruteforce
1006769,625893,121180,2573,291,66,0,0,66.000,109.45,bruteforce
1006883,942319,712307,7921,333,66,0,0,66.000,115.60,bruteforce
1006883,871931,231864,1720,292,66,0,0,66.000,115.60,bruteforce
1006883,808417,445502,9121,333,66,0,0,66.000,115.60,bruteforce
1006883,396308,483622,817,750,66,0,0,66.000,115.60,bruteforce
1006883,865429,817545,11985,291,66,0,0,66.000,115.60,bruteforce
1006883,515174,138146,4086,750,66,0,0,66.000,115.60,bruteforce
1006883,480006,566394,281,333,66,0,0,66.000,115.60,bruteforce
1006883,845662,933505,297,292,66,0,0,66.000,115.60,bruteforce
1006883,87173,106328,5443,292,66,0,0,66.000,115.60,bruteforce
1006883,136156,530748,47,334,66,0,0,66.000,115.60,bruteforce
1006883,650167,928636,4488,292,66,0,0,66.000,115.60,bruteforce
1006883,863284,636710,782,334,66,0,0,66.000,115.60,bruteforce
1006883,849020,476142,3016,292,66,0,0,66.000,115.60,bruteforce
1006883,475838,845734,10801,292,66,0,0,66.000,115.60,bruteforce
1006883,1005426,22643,878,333,66,0,0,66.000,115.60,bruteforce
1006883,725554,409000,3428,333,66,0,0,66.000,115.60,bruteforce
1006883,542120,960324,2415,333,66,0,0,66.000,115.60,bruteforce
1006883,266793,127386,584,333,66,0,0,66.000,115.60,bruteforce
1006883,241811,454865,715,333,66,0,0,66.000,115.60,bruteforce
1006883,176674,440195,184,333,66,0,0,66.000,115.60,bruteforce
1009159,1003831,439381,4012,708,66,0,0,66.000,209.53,bruteforce
1009159,72435,46350,412,333,66,0,0,66.000,209.53,bruteforce
1009159,29356,232090,134,292,66,0,0,66.000,209.53,bruteforce
1009159,281320,721905,10689,709,66,0,0,66.000,209.53,bruteforce
1009159,340805,224134,603,333,66,0,0,66.000,209.53,bruteforce
1009159,821681,161438,16149,375,66,0,0,66.000,209.53,bruteforce
1009159,700713,122255,3836,333,66,0,0,66.000,209.53,bruteforce
1009159,277783,664017,14455,333,66,0,0,66.000,209.53,bruteforce
1009159,845801,134785,6918,333,66,0,0,66.000,209.53,bruteforce
1009159,169562,787069,4441,334,66,0,0,66.000,209.53,bruteforce
1009159,586724,408950,300,333,66,0,0,66.000,209.53,bruteforce
1009159,155559,114526,17681,291,66,0,0,66.000,209.53,bruteforce
1009159,582949,727261,17570,333,66,0,0,66.000,209.53,bruteforce
1009159,438487,645438,1811,333,66,0,0,66.000,209.53,bruteforce
1009159,852229,225877,3233,292,66,0,0,66.000,209.53,bruteforce
1009159,616639,440834,5746,333,66,0,0,66.000,209.53,bruteforce
1009159,672856,951787,846,291,66,0,0,66.000,209.53,bruteforce
1009159,874481,112218,5595,291,66,0,0,66.000,209.53,bruteforce
1009159,712861,472932,12448,333,66,0,0,66.000,209.53,bruteforce
1009159,140678,362722,1158,292,66,0,0,66.000,209.53,bruteforce
1009193,851455,100797,2682,292,66,0,0,66.000,214.63,bruteforce
1009193,578242,413620,1264,291,66,0,0,66.000,214.63,bruteforce
1009193,578242,680142,12836,333,66,0,0,66.000,214.63,bruteforce
1009193,838458,847120,872,292,66,0,0,66.000,214.63,bruteforce
1009193,32587,979563,1055,291,66,0,0,66.000,214.63,bruteforce
1009193,977210,450885,14789,292,66,0,0,66.000,214.63,bruteforce
1009193,941488,729728,5335,292,66,0,0,66.000,214.63,bruteforce
1009193,722621,494521,20421,292,66,0,0,66.000,214.63,bruteforce
1009193,44873,436464,3102,334,66,0,0,66.000,214.63,bruteforce
1009193,399244,962191,13309,291,66,0,0,66.000,214.63,bruteforce
1009193,683806,474193,1820,291,66,0,0,66.000,214.63,bruteforce
1009193,849325,78533,7087,333,66,0,0,66.000,214.63,bruteforce
1009193,820744,940931,11355,291,66,0,0,66.000,214.63,bruteforce
1009193,282279,902028,3634,292,66,0,0,66.000,214.63,bruteforce
1009193,509720,878369,4090,333,66,0,0,66.000,214.63,bruteforce
1009193,206365,959596,375,333,66,0,0,66.000,214.63,bruteforce
1009193,240656,746711,5051,291,66,0,0,66.000,214.63,bruteforce
1009193,534026,868226,2427,292,66,0,0,66.000,214.63,bruteforce
1009193,274832,532318,21803,333,66,0,0,66.000,214.63,bruteforce
1009193,484515,778964,322,333,66,0,0,66.000,214.63,bruteforce
1012481,954258,217071,4202,750,66,0,0,66.000,278.96,bruteforce
1012481,170751,173821,1842,292,66,0,0,66.000,278.96,bruteforce
1012481,248291,815555,7994,333,66,0,0,66.000,278.96,bruteforce
1012481,122703,47887,1979,292,66,0,0,66.000,278.96,bruteforce
1012481,487379,4459,7099,333,66,0,0,66.000,278.96,bruteforce
1012481,1001845,384463,4088,333,66,0,0,66.000,278.96,bruteforce
1012481,858722,538766,21010,291,66,0,0,66.000,278.96,bruteforce
1012481,113884,194963,7531,708,66,0,0,66.000,278.96,bruteforce
1012481,907445,341682,9388,708,66,0,0,66.000,278.96,bruteforce
1012481,126679,30729,337,292,66,0,0,66.000,278.96,bruteforce
1012481,766023,426393,564,292,66,0,0,66.000,278.96,bruteforce
1012481,920958,545918,5330,291,66,0,0,66.000,278.96,bruteforce
1012481,346420,894518,6363,333,66,0,0,66.000,278.96,bruteforce
1012481,487379,104024,20806,292,66,0,0,66.000,278.96,bruteforce
1012481,272570,962016,534,709,66,0,0,66.000,278.96,bruteforce
1012481,740980,199791,18248,292,66,0,0,66.000,278.96,bruteforce
1012481,422408,26599,16909,333,66,0,0,66.000,278.96,bruteforce
1012481,63116,576595,13178,292,66,0,0,66.000,278.96,bruteforce
1012481,214432,798315,2722,333,66,0,0,66.000,278.96,bruteforce
1012481,1003139,448563,25214,333,66,0,0,66.000,278.96,bruteforce
1016497,825113,923952,2194,292,66,0,0,66.000,202.61,bruteforce
1016497,877905,518785,38432,334,66,0,0,66.000,202.61,bruteforce
1016497,9198,504546,3074,333,66,0,0,66.000,202.61,bruteforce
1016497,248384,83297,1262,292,66,0,0,66.000,202.61,bruteforce
1016497,931750,397063,661,333,66,0,0,66.000,202.61,bruteforce
