prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1001629,791177,718358,15769,375,66,0,0,66.00,700.05
1001629,849881,502604,16736,375,66,0,0,66.00,700.05
1001629,682601,185725,65552,334,66,0,0,66.00,700.05
1001629,591821,680253,102026,334,66,0,0,66.00,700.05
1001629,491807,748296,152140,292,66,0,0,66.00,700.05
1001629,173737,288041,160755,333,66,0,0,66.00,700.05
1001629,944105,238292,173520,333,66,0,0,66.00,700.05
1001629,522369,829191,178557,292,66,0,0,66.00,700.05
1001629,754304,772386,187706,292,66,0,0,66.00,700.05
1001629,34873,785016,202386,292,66,0,0,66.00,700.05
1001629,715560,109961,234663,333,66,0,0,66.00,700.05
1001629,502501,273411,243031,333,66,0,0,66.00,700.05
1001629,152986,525726,272419,334,66,0,0,66.00,700.05
1001629,246297,536531,274602,333,66,0,0,66.00,700.05
1001629,902081,133217,279831,291,66,0,0,66.00,700.05
1001629,713714,426902,289117,292,66,0,0,66.00,700.05
1001629,894799,879535,292458,334,66,0,0,66.00,700.05
1001629,963217,557052,310809,292,66,0,0,66.00,700.05
1001629,147256,529102,358129,292,66,0,0,66.00,700.05
1001629,450468,603273,429855,292,66,0,0,66.00,700.05
1003109,86897,138735,25730,291,66,0,0,66.00,357.99
1003109,384030,208626,27168,333,66,0,0,66.00,357.99
1003109,668000,19109,35880,333,66,0,0,66.00,357.99
1003109,990709,741457,38658,334,66,0,0,66.00,357.99
1003109,703754,339811,42157,334,66,0,0,66.00,357.99
1003109,165160,279121,48131,292,66,0,0,66.00,357.99
1003109,231373,872111,50823,291,66,0,0,66.00,357.99
1003109,575097,285522,57024,292,66,0,0,66.00,357.99
1003109,788707,670486,61806,292,66,0,0,66.00,357.99
1003109,221591,132103,62371,291,66,0,0,66.00,357.99
1003109,810968,409945,85398,333,66,0,0,66.00,357.99
1003109,943483,726384,94863,292,66,0,0,66.00,357.99
1003109,491169,916027,141678,333,66,0,0,66.00,357.99
1003109,708214,194260,160261,333,66,0,0,66.00,357.99
1003109,998120,19830,169586,333,66,0,0,66.00,357.99
1003109,755896,825321,193236,334,66,0,0,66.00,357.99
1003109,42431,364839,194093,333,66,0,0,66.00,357.99
1003109,948519,335834,207916,333,66,0,0,66.00,357.99
1003109,226021,286905,217272,291,66,0,0,66.00,357.99
1003109,436095,188803,224521,333,66,0,0,66.00,357.99
1006769,251565,553560,6887,708,66,0,0,66.00,144.01
1006769,173831,997240,14804,333,66,0,0,66.00,144.01
1006769,327395,916743,14975,292,66,0,0,66.00,144.01
1006769,694187,481623,18717,334,66,0,0,66.00,144.01
1006769,832999,460191,21816,334,66,0,0,66.00,144.01
1006769,647768,775811,22240,291,66,0,0,66.00,144.01
1006769,761643,147463,22437,292,66,0,0,66.00,144.01
1006769,61214,932584,25964,333,66,0,0,66.00,144.01
1006769,762606,897156,44152,750,66,0,0,66.00,144.01
1006769,31666,487696,46594,291,66,0,0,66.00,144.01
1006769,437549,445853,49909,292,66,0,0,66.00,144.01
1006769,251676,863184,50849,291,66,0,0,66.00,144.01
1006769,192393,583601,60771,333,66,0,0,66.00,144.01
1006769,665298,243297,67656,291,66,0,0,66.00,144.01
1006769,393922,115619,69317,292,66,0,0,66.00,144.01
1006769,316014,898368,71965,291,66,0,0,66.00,144.01
1006769,771071,921249,74552,333,66,0,0,66.00,144.01
1006769,670290,506553,77399,291,66,0,0,66.00,144.01
1006769,141704,961247,79526,333,66,0,0,66.00,144.01
1006769,260556,457982,82242,333,66,0,0,66.00,144.01
1006883,283496,393939,1732,333,66,0,0,66.00,146.79
1006883,171701,379644,5559,333,66,0,0,66.00,146.79
1006883,503274,579997,12732,292,66,0,0,66.00,146.79
1006883,924194,181151,16215,291,66,0,0,66.00,146.79
1006883,974530,619823,16250,291,66,0,0,66.00,146.79
1006883,126910,387344,31482,333,66,0,0,66.00,146.79
1006883,521749,565212,34815,333,66,0,0,66.00,146.79
1006883,657226,31566,34883,291,66,0,0,66.00,146.79
1006883,683105,659606,39542,334,66,0,0,66.00,146.79
1006883,378970,437192,42247,291,66,0,0,66.00,146.79
1006883,539243,738277,51876,333,66,0,0,66.00,146.79
1006883,769482,307197,55359,292,66,0,0,66.00,146.79
1006883,284397,716214,55944,333,66,0,0,66.00,146.79
1006883,626602,384805,64314,333,66,0,0,66.00,146.79
1006883,965506,214371,76381,333,66,0,0,66.00,146.79
1006883,848063,712316,82127,292,66,0,0,66.00,146.79
1006883,127947,209057,82475,334,66,0,0,66.00,146.79
1006883,635542,673162,83631,333,66,0,0,66.00,146.79
1006883,700301,596985,86269,708,66,0,0,66.00,146.79
1006883,179233,573648,89726,334,66,0,0,66.00,146.79
1009159,512244,558936,935,709,66,0,0,66.00,238.95
1009159,420012,240203,22024,292,66,0,0,66.00,238.95
1009159,464865,786424,31626,291,66,0,0,66.00,238.95
1009159,950873,412128,41370,333,66,0,0,66.00,238.95
1009159,806608,913279,44590,292,66,0,0,66.00,238.95
1009159,898418,567641,55700,334,66,0,0,66.00,238.95
1009159,721073,477846,58007,333,66,0,0,66.00,238.95
1009159,336672,221202,65397,750,66,0,0,66.00,238.95
1009159,226382,280123,67991,292,66,0,0,66.00,238.95
