prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1002741654979,825563585356,608115043415,262906,11268,3048,0,0,3048.000,915.25
1002741654979,825563585356,158692385875,7,10958,3048,0,0,3048.000,915.25
1002741654979,178205013220,902299819572,250317,11333,3048,0,0,3048.000,915.25
1002741654979,178205013220,473244890085,15,11518,3048,0,0,3048.000,915.25
1002741654979,349461076427,489608175284,61269,11125,3048,0,0,3048.000,915.25
1002741654979,349461076427,672957424605,7,11334,3048,0,0,3048.000,915.25
1002741654979,948773497990,310297701371,156474,11417,3048,0,0,3048.000,915.25
1002741654979,948773497990,648440162124,10,11352,3048,0,0,3048.000,915.25
1002741654979,662987649119,403889513464,9716,11208,3048,0,0,3048.000,915.25
1002741654979,662987649119,56890798375,24,10975,3048,0,0,3048.000,915.25
1002741654979,620335760063,775831118110,28947,11517,3048,0,0,3048.000,915.25
1002741654979,620335760063,176035499636,7,11334,3048,0,0,3048.000,915.25
1002741654979,208602282765,772680686742,23396,11417,3048,0,0,3048.000,915.25
1002741654979,208602282765,142710284672,25,11250,3048,0,0,3048.000,915.25
1002741654979,737907456896,937059215862,262010,11434,3048,0,0,3048.000,915.25
1002741654979,737907456896,817734770125,33,11250,3048,0,0,3048.000,915.25
1002741654979,419627618732,151270630347,222269,11226,3048,0,0,3048.000,915.25
1002741654979,419627618732,678752100436,15,11209,3048,0,0,3048.000,915.25
1002741654979,370715188907,20877171682,63322,11416,3048,0,0,3048.000,915.25
1002741654979,370715188907,929353923331,14,11350,3048,0,0,3048.000,915.25
1007307916207,541014934717,92325178043,362421,11375,2904,0,0,2904.000,1619.10
1007307916207,541014934717,743797938608,24,11060,2904,0,0,2904.000,1619.10
1007307916207,258473195781,547924973156,387205,11000,2904,0,0,2904.000,1619.10
1007307916207,258473195781,774277478535,6,11084,2904,0,0,2904.000,1619.10
1007307916207,381663836307,324246641621,28221,11292,2904,0,0,2904.000,1619.10
1007307916207,381663836307,589049391056,5,11458,2904,0,0,2904.000,1619.10
1007307916207,371701254592,453907010544,139293,11352,2904,0,0,2904.000,1619.10
1007307916207,371701254592,651930648351,33,11208,2904,0,0,2904.000,1619.10
1007307916207,265598284284,525084009686,192359,11250,2904,0,0,2904.000,1619.10
1007307916207,265598284284,598525135352,20,11250,2904,0,0,2904.000,1619.10
1007307916207,763609053796,678651861941,54331,11101,2904,0,0,2904.000,1619.10
1007307916207,763609053796,999813139126,16,11125,2904,0,0,2904.000,1619.10
1007307916207,727710437006,925096665667,411818,11041,2904,0,0,2904.000,1619.10
1007307916207,727710437006,688603419423,15,11352,2904,0,0,2904.000,1619.10
1007307916207,620974763806,804947429089,386099,11167,2904,0,0,2904.000,1619.10
1007307916207,620974763806,761021875959,20,11351,2904,0,0,2904.000,1619.10
1007307916207,309823260185,776247436116,71401,11250,2904,0,0,2904.000,1619.10
1007307916207,309823260185,767266374300,22,11227,2904,0,0,2904.000,1619.10
1007307916207,93145864887,994223151299,326790,11018,2904,0,0,2904.000,1619.10
1007307916207,93145864887,960782093775,32,11375,2904,0,0,2904.000,1619.10
1009868816753,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1013789348753,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1014502174151,750728937278,715390130241,111202,10583,3000,0,0,3000.000,401.37
1014502174151,750728937278,792893039612,18,10517,3000,0,0,3000.000,401.37
