prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1002741654979,655627902735,786431571593,96802,77410,3384,0,0,3384.000,1967.53
1002741654979,655627902735,733541227686,79,75218,3384,0,0,3384.000,1967.53
1002741654979,926106773142,564267899878,376768,77011,3384,0,0,3384.000,1967.53
1002741654979,926106773142,53084576882,91,75035,3384,0,0,3384.000,1967.53
1002741654979,192192040653,152193258666,43468,76261,3384,0,0,3384.000,1967.53
1002741654979,192192040653,463737041458,55,74701,3384,0,0,3384.000,1967.53
1002741654979,661403549558,40567220996,166432,41185,3384,0,0,3384.000,1967.53
1002741654979,661403549558,450855826413,32,41160,3384,0,0,3384.000,1967.53
1002741654979,621392875819,205615693342,155576,41433,3384,0,0,3384.000,1967.53
1002741654979,621392875819,504995300597,36,40976,3384,0,0,3384.000,1967.53
1002741654979,931598205445,101366143254,190586,41267,3384,0,0,3384.000,1967.53
1002741654979,931598205445,119138075023,48,40160,3384,0,0,3384.000,1967.53
1002741654979,277113903517,520093546464,68815,40850,3384,0,0,3384.000,1967.53
1002741654979,277113903517,335371773673,51,40036,3384,0,0,3384.000,1967.53
1002741654979,170750283883,523986627265,104592,41434,3384,0,0,3384.000,1967.53
1002741654979,170750283883,60452503206,25,40285,3384,0,0,3384.000,1967.53
1002741654979,139894303920,309986648759,452326,41702,3384,0,0,3384.000,1967.53
1002741654979,139894303920,377875310947,20,41350,3384,0,0,3384.000,1967.53
1002741654979,223612140655,104994440155,113507,41869,3384,0,0,3384.000,1967.53
1002741654979,223612140655,112655345162,36,41434,3384,0,0,3384.000,1967.53
1007307916207,911771605874,49479534562,52050,41368,3240,0,0,3240.000,454.42
1007307916207,911771605874,124486220622,51,40392,3240,0,0,3240.000,454.42
1007307916207,426100887340,143974074665,21475,41642,3240,0,0,3240.000,454.42
1007307916207,426100887340,261851597174,41,40143,3240,0,0,3240.000,454.42
1007307916207,647590663946,669033511841,16924,40476,3240,0,0,3240.000,454.42
1007307916207,647590663946,94708393133,27,39935,3240,0,0,3240.000,454.42
1007307916207,637794864355,627683857396,17909,40685,3240,0,0,3240.000,454.42
1007307916207,637794864355,981593511363,32,39993,3240,0,0,3240.000,454.42
1007307916207,751007421272,725254840348,74408,40826,3240,0,0,3240.000,454.42
1007307916207,751007421272,671208742913,50,40727,3240,0,0,3240.000,454.42
1007307916207,479889908461,91213528958,38618,40660,3240,0,0,3240.000,454.42
1007307916207,479889908461,203434360861,55,47435,3240,0,0,3240.000,454.42
1007307916207,369891569080,968527053327,48743,40018,3240,0,0,3240.000,454.42
1007307916207,369891569080,693262286342,45,39560,3240,0,0,3240.000,454.42
1007307916207,971570179716,494544872460,124849,40226,3240,0,0,3240.000,454.42
